DATE,DoW,Time,Percent_reported,number_of_missing
2021_10_13,Wednesday,17:06,5.0,63
2021_10_14,Thursday,09:19,28.33,357
2021_10_14,Thursday,09:22,26.9,339
2021_10_14,Thursday,09:27,25.16,317
2021_10_14,Thursday,09:34,24.68,311
2021_10_14,Thursday,09:46,21.27,268
2021_10_14,Thursday,09:54,20.63,260
2021_10_14,Thursday,09:59,19.92,251
2021_10_14,Thursday,12:10,7.3,92
2021_10_14,Thursday,17:56,5.08,64
2021_10_14,Thursday,18:39,5.0,63
2021_10_14,Thursday,21:10,4.76,60
2021_10_15,Friday,07:51,64.73,815
2021_10_15,Friday,07:59,62.19,783
2021_10_15,Friday,08:05,59.65,751
2021_10_15,Friday,08:08,57.11,719
2021_10_15,Friday,08:15,51.71,651
2021_10_15,Friday,08:19,51.63,650
2021_10_15,Friday,14:20,5.17,65
2021_10_15,Friday,14:36,5.01,63
2021_10_15,Friday,15:11,4.93,62
2021_10_15,Friday,16:39,4.61,58
2021_10_15,Friday,16:59,4.45,56
2021_10_16,Saturday,14:41,12.96,163
2021_10_16,Saturday,15:22,12.8,161
2021_10_16,Saturday,15:56,12.56,158
2021_10_16,Saturday,17:16,12.32,155
2021_10_16,Saturday,21:38,11.76,148
2021_10_17,Sunday,13:46,11.85,149
2021_10_18,Monday,10:00,18.36,231
2021_10_19,Tuesday,08:37,41.73,525
2021_10_19,Tuesday,09:12,29.41,370
2021_10_19,Tuesday,15:44,4.37,55
2021_10_19,Tuesday,15:45,4.37,55
2021_10_19,Tuesday,17:48,3.97,50
2021_10_19,Tuesday,17:53,3.97,50
2021_10_19,Tuesday,17:54,3.97,50
2021_10_20,Wednesday,09:34,24.46,308
2021_10_20,Wednesday,15:57,4.05,51
2021_10_21,Thursday,09:03,33.68,424
2021_10_22,Friday,09:41,20.92,263
2021_10_22,Friday,13:43,5.16,65
2021_10_23,Saturday,07:53,79.9,1006
2021_10_23,Saturday,17:38,9.6,121
2021_10_23,Saturday,21:09,8.97,113
2021_10_24,Sunday,01:34,100.0,1260
2021_10_24,Sunday,12:46,11.84,149
2021_10_25,Monday,10:10,16.9,213
2021_10_26,Tuesday,09:15,28.44,358
2021_10_27,Wednesday,08:39,43.54,549
2021_10_27,Wednesday,09:40,23.08,291
2021_10_27,Wednesday,12:48,6.75,85
2021_10_27,Wednesday,12:50,6.59,83
2021_10_27,Wednesday,14:27,5.63,71
